Aishe_Code,Name,State,District,Website,Year_Of_Establishment,Location,Slug
U-0044,"Vikram Simhapuri University, Nellore",Andhra Pradesh,Sri Potti Sriramulu Nellore,www.vsu.ac.in,2008,Rural,vsu
U-0961,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, MANGALAGIRI",Andhra Pradesh,Guntur,aiimsmangalagiri.edu.in,2018,Urban,aiimsmangalagiri
U-0045,"Yogi Vemana University, Kadapa",Andhra Pradesh,Y.S.R.,www.yogivemanauniversity.ac.in,2006,Rural,yogivemanauniversity
U-0863,"Indian Institute of Information Technology Design And Manufacturing, Kurnool",Andhra Pradesh,Kurnool,www.iiitk.ac.in,2015,Rural,iiitk
U-0039,"Sri Venkateswara Veterinary University, Tirupathi",Andhra Pradesh,Chittoor,www.svvu.edu.in,2005,Urban,svvu
U-1284,MOHAN BABU UNIVERSITY,Andhra Pradesh,Tirupati,www.mbu.asia,-,Rural,mbu
U-0760,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SRI CITY",Andhra Pradesh,Chittoor,www.iiits.ac.in,2013,Rural,iiits
U-1132,BHARTIYA ENGINEERING SCIENCE AND TECHNOLOGY INNOVATION UNIVERSITY,Andhra Pradesh,Ananthapuramu,www.bestiu.edu.in,2018,Rural,bestiu
U-1389,Annamacharya University,Andhra Pradesh,Annamayya,www.annamacharyauniversity.edu.in,-,Rural,annamacharyauniversity
U-1388,Aditya University,Andhra Pradesh,Kakinada,,-,Urban,adiuni
U-1177,Dr YSR Architecture and Fine Arts University,Andhra Pradesh,Y.S.R.,www.ysrafu.ac.in,2020,Rural,ysrafu
U-0944,INDIAN INSTITUTE OF PETROLEUM & ENERGY,Andhra Pradesh,Visakhapatnam,www.iipe.ac.in,2016,Urban,iipe
U-0945,Vellore Institute of Technology - Andhra Pradesh,Andhra Pradesh,Guntur,www.vitap.ac.in,2017,Rural,vitap
U-1111,KREA UNIVERSITY,Andhra Pradesh,Chittoor,krea.edu.in,2018,Rural,krea
U-0010,"Dravidian University, Kuppam, Chittoor District",Andhra Pradesh,Chittoor,www.dravidianuniversity.ac.in,1997,Rural,dravidianuniversity
U-0034,"Sri Padmavathi Mahila Visva Vidyalayam, Tirupathi",Andhra Pradesh,Chittoor,www.spmvv.ac.in,1983,Urban,spmvv
U-0008,"Dr. N.T.R. University of Health Sciences, Vijaywada",Andhra Pradesh,Krishna,ntruhs.ap.nic.in,1986,Urban,ntruhs
U-1310,The Apollo University,Andhra Pradesh,Chittoor,apollouniversity.edu.in,-,Urban,apollouniversity
U-0957,CENTURION UNIVERSITY OF TECHNOLOGY AND MANAGEMENT,Andhra Pradesh,Vizianagaram,www.cutmap.ac.in,2017,Rural,cutmap
U-0627,School of Planning & Architecture Vijaywada,Andhra Pradesh,Krishna,spav.ac.in,2008,Urban,spav
U-0976,CENTRAL UNIVERSITY OF ANDHRA PRADESH,Andhra Pradesh,Ananthapuramu,cuap.ac.in,2018,Rural,cuap
U-1007,INDIAN INSTITUTE OF MANAGEMENT VISAKHAPATNAM,Andhra Pradesh,Visakhapatnam,www.iimv.ac.in,2015,Urban,iimv
U-0009,"Dr.B.R.Ambedkar University, Etcherla",Andhra Pradesh,Srikakulam,www.brau.edu.in,1972,Rural,brau
U-0827,"Indian Institute of Science Education & Research (IISER), Tirupati",Andhra Pradesh,Chittoor,www.iisertirupati.ac.in,2015,Rural,iisertirupati
U-0998,DR. ABDUL HAQ URDU UNIVERSITY,Andhra Pradesh,Kurnool,www.ahuuk.ac.in ,2016,Urban,ahuuk
U-0006,"Andhra University, Visakhapatnam",Andhra Pradesh,Visakhapatnam,www.andhrauniversity.edu.in,1926,Urban,andhrauniversity
U-0003,"Acharya Nagarjuna University, Guntur",Andhra Pradesh,Guntur,www.anu.ac.in,1976,Rural,anu
U-0001,Dr Y S R Horticulture University,Andhra Pradesh,West Godavari,drysrhu.ap.gov.in,2007,Rural,drysrhu
U-1192,NATIONAL INSTITUTE OF DESIGN ANDHRA PRADESH,Andhra Pradesh,Guntur,www.nid.ac.in,2015,Rural,nid
U-1189,CLUSTER UNIVERSITY,Andhra Pradesh,Kurnool,www.cuklap.ac.in,2020,Urban,cuklap
U-0855,"NATIONAL INSTITUTE OF TECHNOLOGY, ANDHRA PRADESH",Andhra Pradesh,West Godavari,www.nitandhra.ac.in,2015,Urban,nitandhra
U-0030,"National Sanskrit University , Tirupati",Andhra Pradesh,Chittoor,nsktu.ac.in,1961,Urban,nsktu
U-1360,SIDDHARTHA ACADEMY OF HIGHER EDUCATION,Andhra Pradesh,Krishna,www.vrsiddhartha.ac.in,-,Rural,vrsiddhartha
U-0043,"Vignan's Foundation of Science, Technology & Research, Guntur",Andhra Pradesh,Guntur,www.vignan.ac.in,1997,Rural,vignan
U-0844,"Indian Institute of Technology, Tirupati",Andhra Pradesh,Chittoor,iittp.ac.in,2015,Rural,iittp
U-1223,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAM,Andhra Pradesh,Vizianagaram,jntugv.edu.in,-,Urban,jntugv
U-1226,CENTRAL TRIBAL UNIVERSITY,Andhra Pradesh,Vizianagaram,www.ctuap.ac.in,2019,Rural,ctuap
U-0038,"Sri Venkateswara Vedic University, Tirpupathi",Andhra Pradesh,Chittoor,www.svvedicuniversity.ac.in,2006,Urban,svvedicuniversity
U-0037,"Sri Venkateswara University, Tirupathy",Andhra Pradesh,Chittoor,www.svuniversity.edu.in,1954,Urban,svuniversity
